objname_from,pgc_from,objname_to,pgc_to,dtheta_arcsec,comment
NGC 6784,63209,NGC 6784A,63210,38.852,GPair
NGC 6784A,63210,NGC 6784B,-99,42.486,G
ESO 046-IG 001,63242,WISEA J192806.82-762223.5,-99,1.022,GPair
ESO 046-IG 002,63263,WISEA J192848.15-734730.3,-99,5.625,GPair
ESO 528- G 001,64620,ESO 528- G 001 NED01,-99,27.449,GPair
ESO 046-IG 010,64688,PGC 064689,64689,9.296,GPair
ESO 463- G 002,64964,ESO 463- G 002 NED01,-99,0.119,GPair
ESO 597-IG 025,65179,2MASX J20405285-2048459,-99,8.066,GPair
ESO 528-IG 033,65221,ESO 528-IG 033 NED01,-99,8.300,GPair
ESO 106-IG 011,65341,WISEA J204602.11-663903.3,-99,17.504,GPair
UGC 11664,65675,UGC 11664 NED01,-99,14.970,GPair
ESO 235-IG 012,65688,ESO 235-IG 012 NED01,-99,12.376,GPair
CGCG 425-018,65721,2MASX J20552928+1530484,-99,19.252,GPair
AM 2054-335,65790,WISEA J205748.44-334252.4,-99,2.184,GPair
ESO 235-IG 034,65894,ESO 235-IG 034 NED01,-99,2.549,GPair
ESO 342-IG 010,66193,ESO 342-IG 010 NED01,-99,5.506,GPair
ESO 235-IG 071,66308,WISEA J211140.98-472043.0,-99,2.886,GPair
ESO 342-IG 055,66853,ESO 342-IG 055 NED01,-99,13.134,GPair
II Zw 149,67345,WISEA J214714.44+133710.5,-99,0.582,GPair
ESO 237-IG 001,67367,ESO 237-IG 001 NED01,-99,1.494,GPair
ESO 237-IG 039,68088,ESO 237-IG 039 NED02,-99,8.352,GPair
ESO 237-IG 041,68182,ESO 237-IG 041 NED02,-99,12.237,GPair
ESO 076-IG 006,68351,ESO 076-IG 006 NED01,-99,3.382,GPair
ESO 467-IG 056,68822,ESO 467-IG 056 NED01,-99,7.859,GPair
NGC 7268,68847,NGC 7268 NED01,-99,8.990,GPair
CGCG 514-052,69080,WISEA J223154.49+342614.9,-99,1.207,GPair
ESO 345-IG 025,69150,ESO 345-IG 025 NED02,-99,7.149,GPair
ESO 048-IG 026,69157,AM 2229-735 NED01,-99,10.354,GPair
IV Zw 107,69289,2MASX J22363556+3930356,3442565,1.773,GPair
ESO 190-IG 020,69413,WISEA J223907.56-552343.7,-99,5.520,GPair
ESO 049-IG 002,69601,WISEA J224345.73-754605.1,4681580,4.435,GPair
CGCG 406-014,70638,WISEA J231106.49+093317.6,-99,3.554,GPair
ESO 407-IG 015,70979,WISEA J231756.85-335400.9,-99,6.356,GPair
V Zw 403,71451,2MASX J23264444+4718444,-99,0.591,GPair
V Zw 405,71520,2MASX J23281520+4511285,-99,0.841,GPair
IV Zw 154,71633,WISEA J233051.05+295745.7,-99,1.618,GPair
V Zw 409,71684,WISEA J233201.00+444231.2,-99,2.360,GPair
IV Zw 156,71787,IV Zw 156 NOTES02,-99,2.230,GPair
ESO 537-IG 003,72282,ESO 537-IG 003 NED01,-99,8.610,GPair
V Zw 426,72326,WISEA J234532.09+433347.8,-99,29.946,GPair
V Zw 428,72417,WISEA J234729.08+550248.4,-99,0.476,GPair
ESO 293-IG 003,72554,ESO 293-IG 003 NED01,-99,31.149,GPair
V Zw 434,72702,2MASX J23522730+5019336,-99,4.405,GPair
ESO 193-IG 005,72861,2MASX J23551472-5041170,-99,2.990,GPair
IV Zw 172,72898,2MASX J23554664+3713238,-99,3.830,GPair
ESO 293-IG 016,72946,ESO 293-IG 016 NED01,197327,4.788,GPair
KUG 1502+484,84430,WISEA J150411.24+481427.8,-99,1.984,GPair
KUG 1212+225,89679,KUG 1212+225 NED02,-99,0.357,GPair
AM 2320-314,95343,AM 2320-314 NED02,-99,2.888,GPair
DUKST 470-030,95346,WISEA J232610.59-303106.3,-99,2.571,GPair
WISEA J061507.83-024534.6,96354,WISEA J061508.14-024536.9,-99,2.889,GPair
IRAS 07012-3605,96366,WISEA J070304.61-361009.1,-99,4.887,GPair
IRAS 08126-4402,96396,WISEA J081422.14-441153.8,-99,3.174,GPair
IRAS 09548-6751,96459,WISEA J095613.61-680600.6,-99,72.106,GPair
IRAS 10264-6413,96479,WISEA J102805.56-642915.1,-99,1.860,GPair
APMUKS(BJ) B012314.85-03451 ID,96629,WISEA J012546.79-032938.8,-99,3.846,GPair
IRAS 06532+2202,97192,WISEA J065612.04+215824.5,-99,12.974,GPair
2MASXi J0707413+155536,97203,WISEA J070741.39+155535.9,-99,0.500,GPair
IRAS 10201+3308,97528,WISEA J102300.93+325305.0,-99,14.367,GPair
2MFGC 02112,127215,WISEA J024020.17-715008.0,-99,7.899,GPair
IRAS 21221-3420,132360,WISEA J212506.66-340820.6,-99,10.873,GPair
AM 2340-310,133576,2MASX J23432068-3052398,-99,11.121,GPair
GALEXASC J001929.26-171354.2,134661,2MFGC 00231,-99,6.799,GPair
2MASXi J0612251+230448,136122,WISEA J061225.12+230447.7,-99,0.170,GPair
ZOAG G197.44+04.58,136348,2MASX J06392637+1551514,-99,13.101,GPair
ZOAG G201.64-03.96,136472,WISEA J061626.82+081114.0,-99,6.895,GPair
IRAS 06198+7112,138852,WISEA J062537.66+711024.2,-99,21.445,GPair
IRAS 05163+4246,168840,WISEA J051956.34+424939.4,4664384,0.364,GPair
LEDA 169694,169694,[SC98] 13125-2005a,-99,3.655,GPair
IRAS F23599-6644,170481,WISEA J000229.25-662804.8,-99,2.752,GPair
AM 0013-675,171723,6dF J0015276-673356,-99,2.052,GPair
CGMW 3-0084,200468,WISEA J173424.05-025358.3,-99,5.135,GPair
CGMW 3-0161,200538,WISEA J173655.98-102549.3,-99,4.856,GPair
CGMW 3-0212,200588,WISEA J173829.47-020126.8,-99,0.761,GPair
