OBJNAME,REGION
DESI J164.3216-23.9507,
DESI J229.8729-33.5358,
DESI J025.6120-62.2414,
DESI J320.0228-40.5520,
DESI J230.2352-33.4544,
DESI J097.1400-57.7048,
DESI J161.0574-10.3854,
DESI J263.0165-76.9839,
DESI J094.1625-41.7556,
DESI J027.6237-09.2681,
DESI J331.3698-09.1035,
DESI J229.8181-33.5498,
DESI J140.0566-86.4023,
DESI J159.2383-86.5838,
DESI J126.1248-03.5234,
DESI J349.2493-42.7410,
DESI J207.6663+11.7015,
DESI J284.6451-76.9987,
DESI J186.3870-40.5894,
DESI J026.5439+28.8168,
DESI J227.4104-84.3742,
DESI J338.0923-06.4089,
DESI J075.7947-01.7516,
DESI J259.9711-77.1775,
DESI J345.3005+22.3997,
DESI J076.2719-07.7232,
DESI J021.3492+10.7607,
DESI J253.1803-80.6347,
DESI J247.3682-80.7994,
DESI J258.9291-77.2927,
DESI J030.2827+13.4467,
DESI J347.2372+17.7475,
DESI J259.8472-77.2083,
DESI J241.8706-82.3874,
DESI J159.3926+33.0082,
DESI J352.6041-49.9631,
DESI J289.3221-56.9924,
DESI J286.4461-77.2715,
DESI J047.1182-61.0018,
DESI J231.5664+22.1202,
DESI J205.6528-82.9091,
DESI J076.0883-06.1958,
DESI J033.7401-85.2709,
DESI J260.6209-77.0439,
DESI J189.7303+30.0928,
DESI J314.6014-49.7359,
DESI J288.4904-78.4649,
DESI J122.2669-83.8970,
DESI J296.9277-40.4903,
DESI J209.2693-39.9402,
DESI J248.2078+16.6290,
DESI J163.2551-35.7576,
DESI J321.8481-46.5323,
DESI J026.3029-75.9169,
DESI J345.1899+21.1716,
DESI J351.6338+34.0465,
DESI J351.3863+30.6406,
DESI J123.4153-85.3894,
DESI J256.3993+04.9737,
DESI J210.7816-40.2074,
DESI J228.4307+00.5735,
DESI J176.6879+29.1452,
DESI J002.7023-79.5590,
DESI J065.1245-55.2180,
DESI J232.8211-27.5572,
DESI J259.8045-77.6788,
DESI J221.7375+32.2139,
DESI J025.5718-43.0580,
DESI J330.4189-03.0514,
DESI J345.4698+22.9125,
DESI J128.5878+11.7364,
DESI J202.4312-06.6227,
DESI J132.1945+24.7867,
DESI J155.2036-03.5291,
DESI J242.5471+26.7974,
DESI J044.2422-47.6134,
DESI J142.3648-01.4211,
DESI J177.1674+25.2615,
DESI J107.1423-59.5686,
DESI J288.0223-58.6717,
DESI J291.7501-52.5853,
DESI J281.2995-58.1013,
DESI J078.3105-45.9859,
DESI J019.5772+02.4530,
DESI J291.1249-78.7875,
DESI J342.5232+16.5893,
DESI J234.8680-82.7565,
DESI J354.9374+05.0826,
DESI J209.6361-40.3578,
DESI J250.7803+04.2699,
DESI J061.9871-61.4675,
